X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2
1.0,0.0,0.2857142857142857,0.0,1.0,0.0,0.0,0.0,15.55,21.33
1.0,0.0,0.2857142857142857,0.0,1.0,0.3333333333333333,0.0,0.0,15.55,21.33
1.0,0.0,0.2857142857142857,0.0,1.0,0.6666666666666666,0.0,0.0,15.55,21.33
1.0,0.0,0.2857142857142857,0.0,1.0,1.0,0.0,0.0,15.55,21.33
0.7777777777777779,0.16666666666666666,0.42857142857142855,0.1111111111111111,1.0,0.0,0.0,0.0,20.84,28.28
0.7777777777777779,0.16666666666666666,0.42857142857142855,0.1111111111111111,1.0,0.3333333333333333,0.0,0.0,21.46,25.38
0.7777777777777779,0.16666666666666666,0.42857142857142855,0.1111111111111111,1.0,0.6666666666666666,0.0,0.0,20.71,25.16
0.7777777777777779,0.16666666666666666,0.42857142857142855,0.1111111111111111,1.0,1.0,0.0,0.0,19.68,29.6
0.6666666666666666,0.25,0.2857142857142857,0.3333333333333333,1.0,0.0,0.0,0.0,19.5,27.3
0.6666666666666666,0.25,0.2857142857142857,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,19.95,21.97
0.6666666666666666,0.25,0.2857142857142857,0.3333333333333333,1.0,0.6666666666666666,0.0,0.0,19.34,23.49
0.6666666666666666,0.25,0.2857142857142857,0.3333333333333333,1.0,1.0,0.0,0.0,18.31,27.87
0.5555555555555555,0.3333333333333333,0.42857142857142855,0.3333333333333333,1.0,0.0,0.0,0.0,17.05,23.77
0.5555555555555555,0.3333333333333333,0.42857142857142855,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,17.41,21.46
0.5555555555555555,0.3333333333333333,0.42857142857142855,0.3333333333333333,1.0,0.6666666666666666,0.0,0.0,16.95,21.16
0.5555555555555555,0.3333333333333333,0.42857142857142855,0.3333333333333333,1.0,1.0,0.0,0.0,15.98,24.93
0.4722222222222224,0.4166666666666667,0.5714285714285714,0.3333333333333333,1.0,0.0,0.0,0.0,28.52,37.73
0.4722222222222224,0.4166666666666667,0.5714285714285714,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,29.9,31.27
